ReferralID,ReferrerClientID,ReferredClientID,ReferralDate,Converted,ReferralChannel,FirstServiceBooked,RevenueGenerated_GBP,Year,QuarterYear
REF000261,CL1818,CL0403,2024-02-09,No,Email,Colour & Style Combined,0,2024,Q1 2024
REF000262,CL2573,CL0286,2024-02-01,Yes,Email,Colour & Style Combined,295.31,2024,Q1 2024
REF000263,CL0189,CL2317,2025-01-16,No,Email,Style Analysis,0,2025,Q1 2025
REF000264,CL1329,CL0908,2025-06-12,Yes,WhatsApp,Style Analysis,315.86,2025,Q2 2025
REF000265,CL0230,CL1825,2025-01-04,No,Email,Colour Analysis,0,2025,Q1 2025
REF000266,CL1202,CL1150,2023-10-14,No,Social Media Post,Colour & Style Combined,0,2023,Q4 2023
REF000267,CL0697,CL1068,2025-08-24,Yes,Social Media Post,Colour & Style Combined,222.56,2025,Q3 2025
REF000268,CL0987,CL0371,2025-03-23,Yes,Word of Mouth,Style Analysis,370.59,2025,Q1 2025
REF000269,CL0587,CL1828,2023-11-23,Yes,In-Person,Style Analysis,334.17,2023,Q4 2023
REF000270,CL1041,CL0258,2024-06-25,Yes,Word of Mouth,Style Analysis,263.31,2024,Q2 2024
REF000271,CL1179,CL0423,2025-12-03,Yes,WhatsApp,Colour & Style Combined,283.06,2025,Q4 2025
REF000272,CL2407,CL0913,2025-11-23,Yes,WhatsApp,Makeup Lesson,352.61,2025,Q4 2025
REF000273,CL1738,CL1802,2023-12-06,Yes,In-Person,Colour & Style Combined,163.74,2023,Q4 2023
REF000274,CL1738,CL0766,2023-11-19,Yes,Word of Mouth,Style Analysis,229.75,2023,Q4 2023
REF000275,CL1025,CL2766,2025-09-07,Yes,In-Person,Style Analysis,305.36,2025,Q3 2025
REF000276,CL1238,CL2427,2023-11-26,Yes,In-Person,Colour Analysis,384.51,2023,Q4 2023
REF000277,CL0816,CL0738,2025-11-24,No,In-Person,Colour Analysis,0,2025,Q4 2025
REF000278,CL1563,CL1931,2025-09-13,Yes,Email,Style Analysis,353.25,2025,Q3 2025
REF000279,CL1471,CL1084,2023-12-10,No,WhatsApp,Makeup Lesson,0,2023,Q4 2023
REF000280,CL1471,CL2444,2023-05-21,Yes,Email,Style Analysis,130.29,2023,Q2 2023
REF000281,CL2355,CL2066,2025-05-09,No,In-Person,Colour Analysis,0,2025,Q2 2025
REF000282,CL2355,CL0727,2025-09-01,No,In-Person,Colour Analysis,0,2025,Q3 2025
REF000283,CL1622,CL2472,2023-01-03,No,Email,Makeup Lesson,0,2023,Q1 2023
REF000284,CL1622,CL1518,2023-03-30,Yes,Email,Style Analysis,399.99,2023,Q1 2023
REF000285,CL0898,CL0344,2024-08-03,Yes,In-Person,Makeup Lesson,178.79,2024,Q3 2024
REF000286,CL0898,CL0023,2023-01-15,Yes,Word of Mouth,Colour Analysis,216.88,2023,Q1 2023
REF000287,CL0779,CL1675,2025-01-11,Yes,Email,Colour & Style Combined,179.92,2025,Q1 2025
REF000288,CL0779,CL2196,2025-05-17,Yes,In-Person,Colour & Style Combined,417.33,2025,Q2 2025
REF000289,CL0561,CL2284,2025-09-15,Yes,In-Person,Makeup Lesson,177.48,2025,Q3 2025
REF000290,CL0398,CL2890,2025-03-26,No,Word of Mouth,Style Analysis,0,2025,Q1 2025
REF000291,CL1806,CL1641,2024-11-24,No,In-Person,Colour Analysis,0,2024,Q4 2024
REF000292,CL0137,CL0022,2023-07-06,No,Email,Makeup Lesson,0,2023,Q3 2023
REF000293,CL0137,CL0362,2023-05-12,Yes,WhatsApp,Colour Analysis,292.93,2023,Q2 2023
REF000294,CL0137,CL2968,2025-02-26,No,Email,Colour & Style Combined,0,2025,Q1 2025
REF000295,CL2543,CL2123,2024-08-08,Yes,In-Person,Style Analysis,294.94,2024,Q3 2024
REF000296,CL2543,CL2761,2023-03-15,Yes,Word of Mouth,Style Analysis,123.22,2023,Q1 2023
REF000297,CL0720,CL2743,2025-03-20,Yes,Social Media Post,Colour Analysis,334.5,2025,Q1 2025
REF000298,CL0823,CL1166,2024-12-13,Yes,WhatsApp,Style Analysis,292.07,2024,Q4 2024
REF000299,CL0542,CL2355,2023-01-10,Yes,Email,Colour Analysis,276.55,2023,Q1 2023
REF000300,CL0542,CL2061,2024-08-25,Yes,Word of Mouth,Colour & Style Combined,379.74,2024,Q3 2024
REF000301,CL0542,CL2355,2024-05-27,Yes,Email,Makeup Lesson,345.24,2024,Q2 2024
REF000302,CL0674,CL0277,2025-02-22,Yes,Social Media Post,Style Analysis,355.05,2025,Q1 2025
REF000303,CL0472,CL1635,2024-12-01,Yes,Social Media Post,Makeup Lesson,197.01,2024,Q4 2024
REF000304,CL1919,CL0749,2024-01-25,Yes,Social Media Post,Style Analysis,334.01,2024,Q1 2024
REF000305,CL0577,CL1023,2024-12-30,Yes,Word of Mouth,Colour Analysis,394.06,2024,Q4 2024
REF000306,CL1617,CL2543,2024-10-07,Yes,In-Person,Colour & Style Combined,254.51,2024,Q4 2024
REF000307,CL2198,CL2363,2023-09-20,Yes,Email,Makeup Lesson,400.39,2023,Q3 2023
REF000308,CL0507,CL2812,2023-12-24,Yes,Word of Mouth,Makeup Lesson,197.59,2023,Q4 2023
REF000309,CL2591,CL1555,2023-07-26,Yes,In-Person,Colour & Style Combined,155.82,2023,Q3 2023
REF000310,CL2591,CL1077,2024-04-30,Yes,In-Person,Colour & Style Combined,213.93,2024,Q2 2024
REF000311,CL1074,CL1525,2025-01-17,No,WhatsApp,Makeup Lesson,0,2025,Q1 2025
REF000312,CL1074,CL0737,2023-09-26,No,Social Media Post,Colour Analysis,0,2023,Q3 2023
REF000313,CL1932,CL0613,2025-08-26,No,Social Media Post,Makeup Lesson,0,2025,Q3 2025
REF000314,CL1932,CL2047,2023-10-03,No,In-Person,Colour & Style Combined,0,2023,Q4 2023
REF000315,CL2300,CL2326,2023-04-08,Yes,Social Media Post,Colour Analysis,165.03,2023,Q2 2023
REF000316,CL1344,CL0395,2025-07-10,No,WhatsApp,Colour & Style Combined,0,2025,Q3 2025
REF000317,CL1344,CL1476,2024-06-11,Yes,Email,Colour Analysis,209.1,2024,Q2 2024
REF000318,CL0573,CL2091,2025-09-25,No,Email,Colour Analysis,0,2025,Q3 2025
REF000319,CL0153,CL0594,2023-12-10,Yes,WhatsApp,Makeup Lesson,300.16,2023,Q4 2023
REF000320,CL0476,CL0935,2024-10-04,Yes,WhatsApp,Colour & Style Combined,291.75,2024,Q4 2024
REF000321,CL2986,CL0513,2024-04-25,Yes,Word of Mouth,Style Analysis,149.25,2024,Q2 2024
REF000322,CL2986,CL0422,2023-07-15,Yes,Email,Colour Analysis,103.57,2023,Q3 2023
REF000323,CL2529,CL0637,2023-06-22,Yes,Email,Colour & Style Combined,169.54,2023,Q2 2023
REF000324,CL2554,CL0699,2023-02-28,Yes,WhatsApp,Colour & Style Combined,375.88,2023,Q1 2023
REF000325,CL1817,CL2209,2023-12-29,Yes,Email,Makeup Lesson,265.12,2023,Q4 2023
REF000326,CL1817,CL2620,2025-12-29,Yes,WhatsApp,Makeup Lesson,270.39,2025,Q4 2025
REF000327,CL1817,CL0367,2025-06-23,Yes,Email,Colour & Style Combined,145.61,2025,Q2 2025
REF000328,CL1822,CL0559,2024-12-05,Yes,In-Person,Colour Analysis,318.53,2024,Q4 2024
REF000329,CL2686,CL1200,2024-04-18,No,In-Person,Colour & Style Combined,0,2024,Q2 2024
REF000330,CL2686,CL0773,2025-04-23,No,Email,Makeup Lesson,0,2025,Q2 2025
REF000331,CL1505,CL2646,2025-03-09,No,Social Media Post,Colour & Style Combined,0,2025,Q1 2025
REF000332,CL1505,CL0325,2025-05-14,Yes,In-Person,Colour & Style Combined,187.52,2025,Q2 2025
REF000333,CL1131,CL2609,2025-07-21,Yes,WhatsApp,Makeup Lesson,156.03,2025,Q3 2025
REF000334,CL0778,CL2192,2023-02-15,Yes,Word of Mouth,Colour & Style Combined,182.49,2023,Q1 2023
REF000335,CL0376,CL2022,2024-03-20,Yes,WhatsApp,Makeup Lesson,419.34,2024,Q1 2024
REF000336,CL0208,CL0599,2023-04-25,Yes,Email,Colour Analysis,271.54,2023,Q2 2023
REF000337,CL0208,CL0744,2024-01-29,No,WhatsApp,Makeup Lesson,0,2024,Q1 2024
REF000338,CL0998,CL1020,2025-02-27,No,Email,Style Analysis,0,2025,Q1 2025
REF000339,CL0998,CL0138,2024-02-12,Yes,Word of Mouth,Style Analysis,248.67,2024,Q1 2024
REF000340,CL0841,CL2578,2023-03-28,No,In-Person,Colour Analysis,0,2023,Q1 2023
REF000341,CL2902,CL0814,2025-01-08,No,Social Media Post,Colour Analysis,0,2025,Q1 2025
REF000342,CL2271,CL0062,2023-12-09,No,In-Person,Colour Analysis,0,2023,Q4 2023
REF000343,CL0885,CL2381,2025-08-31,Yes,Social Media Post,Colour & Style Combined,345.51,2025,Q3 2025
REF000344,CL0885,CL1019,2023-11-19,Yes,In-Person,Colour & Style Combined,397.53,2023,Q4 2023
REF000345,CL0885,CL2561,2023-05-03,Yes,Social Media Post,Colour Analysis,135.89,2023,Q2 2023
REF000346,CL0955,CL2641,2024-12-12,No,Email,Style Analysis,0,2024,Q4 2024
REF000347,CL0955,CL0088,2025-02-12,Yes,Social Media Post,Colour & Style Combined,387.07,2025,Q1 2025
REF000348,CL0955,CL1988,2025-06-15,Yes,In-Person,Makeup Lesson,156.68,2025,Q2 2025
REF000349,CL2475,CL3000,2025-08-17,Yes,In-Person,Style Analysis,117.38,2025,Q3 2025
REF000350,CL0605,CL1079,2025-01-21,Yes,In-Person,Makeup Lesson,333.44,2025,Q1 2025
REF000351,CL2322,CL2208,2025-03-04,Yes,Email,Style Analysis,294.24,2025,Q1 2025
REF000352,CL2965,CL0453,2023-07-17,Yes,Word of Mouth,Colour Analysis,366.44,2023,Q3 2023
REF000353,CL0715,CL0828,2023-08-08,Yes,Word of Mouth,Colour Analysis,280.58,2023,Q3 2023
REF000354,CL0715,CL1592,2025-09-30,Yes,In-Person,Colour & Style Combined,110.95,2025,Q3 2025
REF000355,CL0451,CL0054,2024-03-03,Yes,Word of Mouth,Makeup Lesson,355.33,2024,Q1 2024
REF000356,CL0451,CL0249,2025-01-09,Yes,Email,Colour & Style Combined,353.13,2025,Q1 2025
REF000357,CL2625,CL2167,2023-03-25,No,WhatsApp,Colour Analysis,0,2023,Q1 2023
REF000358,CL1468,CL2178,2025-02-28,Yes,In-Person,Style Analysis,280.26,2025,Q1 2025
REF000359,CL1468,CL0733,2025-04-30,No,In-Person,Colour & Style Combined,0,2025,Q2 2025
REF000360,CL0714,CL2253,2025-04-02,Yes,Social Media Post,Makeup Lesson,398.39,2025,Q2 2025
REF000361,CL0714,CL1291,2024-10-26,No,Email,Makeup Lesson,0,2024,Q4 2024
REF000362,CL0215,CL2235,2024-03-14,Yes,In-Person,Colour & Style Combined,212.0,2024,Q1 2024
REF000363,CL2487,CL1166,2023-02-03,Yes,WhatsApp,Colour Analysis,192.61,2023,Q1 2023
REF000364,CL0466,CL0089,2024-07-19,No,In-Person,Style Analysis,0,2024,Q3 2024
REF000365,CL0466,CL0387,2023-03-19,Yes,Social Media Post,Style Analysis,181.12,2023,Q1 2023
REF000366,CL2790,CL1231,2023-07-08,Yes,In-Person,Style Analysis,333.64,2023,Q3 2023
REF000367,CL2103,CL2825,2023-07-15,Yes,WhatsApp,Colour Analysis,332.51,2023,Q3 2023
REF000368,CL2103,CL2361,2025-02-20,Yes,Word of Mouth,Colour & Style Combined,208.08,2025,Q1 2025
REF000369,CL0178,CL2468,2023-01-24,Yes,Email,Colour Analysis,194.05,2023,Q1 2023
REF000370,CL0178,CL0169,2024-10-15,Yes,Social Media Post,Colour & Style Combined,258.28,2024,Q4 2024
REF000371,CL2999,CL2997,2025-03-15,No,In-Person,Colour Analysis,0,2025,Q1 2025
REF000372,CL2860,CL1616,2023-10-31,Yes,Word of Mouth,Makeup Lesson,280.72,2023,Q4 2023
REF000373,CL1877,CL0349,2025-03-27,Yes,Social Media Post,Style Analysis,251.3,2025,Q1 2025
REF000374,CL2899,CL2341,2024-02-06,Yes,In-Person,Style Analysis,173.75,2024,Q1 2024
REF000375,CL0250,CL2805,2023-07-03,Yes,Email,Makeup Lesson,213.71,2023,Q3 2023
REF000376,CL1962,CL2685,2023-02-19,No,Social Media Post,Colour & Style Combined,0,2023,Q1 2023
REF000377,CL2009,CL0957,2024-02-13,Yes,Social Media Post,Colour Analysis,131.52,2024,Q1 2024
REF000378,CL2888,CL0605,2024-08-12,Yes,Word of Mouth,Colour & Style Combined,241.27,2024,Q3 2024
REF000379,CL2888,CL0094,2024-11-10,Yes,In-Person,Style Analysis,161.24,2024,Q4 2024
REF000380,CL2888,CL2144,2024-06-13,Yes,In-Person,Style Analysis,320.9,2024,Q2 2024
REF000381,CL0270,CL0823,2024-07-09,Yes,Word of Mouth,Colour Analysis,221.31,2024,Q3 2024
REF000382,CL0517,CL2704,2025-01-07,No,Word of Mouth,Colour & Style Combined,0,2025,Q1 2025
REF000383,CL0517,CL2660,2025-03-02,Yes,Email,Colour Analysis,388.76,2025,Q1 2025
REF000384,CL2349,CL1876,2023-02-14,Yes,In-Person,Colour & Style Combined,203.41,2023,Q1 2023
REF000385,CL1208,CL1442,2024-12-28,Yes,Social Media Post,Colour & Style Combined,358.87,2024,Q4 2024
REF000386,CL2889,CL1148,2024-04-06,Yes,Email,Style Analysis,123.53,2024,Q2 2024
REF000387,CL1695,CL0626,2025-05-23,No,In-Person,Colour & Style Combined,0,2025,Q2 2025
REF000388,CL1858,CL2380,2024-02-19,No,WhatsApp,Style Analysis,0,2024,Q1 2024
REF000389,CL1858,CL1762,2023-10-25,Yes,In-Person,Style Analysis,198.19,2023,Q4 2023
REF000390,CL0390,CL0597,2023-03-02,No,Email,Makeup Lesson,0,2023,Q1 2023
REF000391,CL1281,CL2609,2024-07-14,Yes,Social Media Post,Colour Analysis,137.75,2024,Q3 2024
REF000392,CL1281,CL0108,2024-06-30,Yes,In-Person,Style Analysis,288.82,2024,Q2 2024
REF000393,CL1749,CL0326,2025-09-03,Yes,In-Person,Makeup Lesson,326.41,2025,Q3 2025
REF000394,CL2979,CL0133,2025-04-16,No,Word of Mouth,Colour & Style Combined,0,2025,Q2 2025
REF000395,CL0275,CL0831,2024-02-23,Yes,Email,Makeup Lesson,318.56,2024,Q1 2024
REF000396,CL0275,CL1875,2024-05-20,Yes,Word of Mouth,Makeup Lesson,329.07,2024,Q2 2024
REF000397,CL2279,CL1872,2023-03-28,No,Social Media Post,Makeup Lesson,0,2023,Q1 2023
REF000398,CL2598,CL2584,2023-04-11,Yes,Email,Makeup Lesson,382.43,2023,Q2 2023
REF000399,CL2503,CL1206,2023-04-22,Yes,Social Media Post,Makeup Lesson,364.72,2023,Q2 2023
REF000400,CL2722,CL2852,2023-10-05,Yes,WhatsApp,Makeup Lesson,103.1,2023,Q4 2023
REF000401,CL2722,CL1859,2024-02-18,No,Word of Mouth,Colour & Style Combined,0,2024,Q1 2024
REF000402,CL2428,CL2915,2023-12-02,No,Word of Mouth,Colour Analysis,0,2023,Q4 2023
REF000403,CL1280,CL1487,2023-06-24,Yes,Email,Style Analysis,218.07,2023,Q2 2023
REF000404,CL1976,CL0733,2023-04-16,Yes,WhatsApp,Makeup Lesson,188.85,2023,Q2 2023
REF000405,CL1976,CL0741,2023-08-29,No,Social Media Post,Colour Analysis,0,2023,Q3 2023
REF000406,CL2347,CL2043,2023-01-12,Yes,Email,Style Analysis,165.48,2023,Q1 2023
REF000407,CL0927,CL1140,2024-03-01,Yes,Social Media Post,Colour Analysis,307.31,2024,Q1 2024
REF000408,CL0927,CL0151,2023-10-25,No,In-Person,Colour & Style Combined,0,2023,Q4 2023
REF000409,CL1758,CL0447,2025-05-03,No,Social Media Post,Colour & Style Combined,0,2025,Q2 2025
REF000410,CL2689,CL2372,2025-01-07,No,Word of Mouth,Colour & Style Combined,0,2025,Q1 2025
REF000411,CL2437,CL0278,2025-05-25,No,Word of Mouth,Colour & Style Combined,0,2025,Q2 2025
REF000412,CL2437,CL1929,2023-10-03,Yes,WhatsApp,Colour & Style Combined,266.29,2023,Q4 2023
REF000413,CL2611,CL2577,2025-12-19,No,Email,Colour & Style Combined,0,2025,Q4 2025
REF000414,CL2611,CL1750,2024-10-10,Yes,In-Person,Colour & Style Combined,396.31,2024,Q4 2024
REF000415,CL0882,CL0793,2023-01-04,Yes,Email,Colour Analysis,334.68,2023,Q1 2023
REF000416,CL1541,CL1699,2025-04-27,Yes,WhatsApp,Style Analysis,98.67,2025,Q2 2025
REF000417,CL1720,CL0278,2024-09-22,Yes,In-Person,Colour & Style Combined,344.29,2024,Q3 2024
REF000418,CL2228,CL1623,2023-03-01,No,Social Media Post,Colour & Style Combined,0,2023,Q1 2023
REF000419,CL2455,CL0637,2025-08-01,No,In-Person,Colour & Style Combined,0,2025,Q3 2025
REF000420,CL2154,CL2315,2024-10-08,Yes,Word of Mouth,Style Analysis,282.65,2024,Q4 2024
REF000421,CL0204,CL1449,2023-05-16,No,WhatsApp,Colour Analysis,0,2023,Q2 2023
REF000422,CL0204,CL1390,2025-02-07,Yes,Social Media Post,Makeup Lesson,155.9,2025,Q1 2025
REF000423,CL0204,CL0479,2024-09-23,No,WhatsApp,Colour Analysis,0,2024,Q3 2024
REF000424,CL0335,CL0974,2025-01-31,Yes,WhatsApp,Style Analysis,265.66,2025,Q1 2025
REF000425,CL1115,CL0154,2024-02-18,No,Email,Colour Analysis,0,2024,Q1 2024
REF000426,CL2946,CL1981,2025-12-08,Yes,WhatsApp,Style Analysis,345.08,2025,Q4 2025
REF000427,CL2572,CL2115,2023-09-29,Yes,Word of Mouth,Makeup Lesson,220.97,2023,Q3 2023
REF000428,CL2572,CL2140,2023-08-26,Yes,Word of Mouth,Colour Analysis,203.32,2023,Q3 2023
REF000429,CL2572,CL0189,2023-07-31,Yes,WhatsApp,Colour Analysis,282.71,2023,Q3 2023
REF000430,CL1697,CL1315,2024-02-15,Yes,WhatsApp,Colour & Style Combined,346.16,2024,Q1 2024
REF000431,CL1697,CL2749,2023-08-29,Yes,Social Media Post,Colour & Style Combined,132.2,2023,Q3 2023
REF000432,CL2099,CL2251,2024-10-14,Yes,WhatsApp,Style Analysis,150.66,2024,Q4 2024
REF000433,CL0467,CL2215,2025-06-27,Yes,Word of Mouth,Makeup Lesson,388.57,2025,Q2 2025
REF000434,CL0467,CL0207,2023-08-05,Yes,Word of Mouth,Makeup Lesson,222.37,2023,Q3 2023
REF000435,CL2738,CL2748,2025-12-28,Yes,Email,Style Analysis,125.2,2025,Q4 2025
REF000436,CL0225,CL2640,2025-08-11,Yes,Social Media Post,Style Analysis,374.86,2025,Q3 2025
REF000437,CL0492,CL1440,2025-09-07,Yes,Social Media Post,Colour & Style Combined,344.58,2025,Q3 2025
REF000438,CL2038,CL2926,2023-08-08,Yes,Word of Mouth,Colour & Style Combined,268.14,2023,Q3 2023
REF000439,CL1451,CL2421,2025-06-01,No,Email,Colour & Style Combined,0,2025,Q2 2025
REF000440,CL1451,CL2231,2024-04-28,Yes,Word of Mouth,Makeup Lesson,132.15,2024,Q2 2024
REF000441,CL1627,CL1824,2023-12-27,Yes,Email,Colour Analysis,289.43,2023,Q4 2023
REF000442,CL2838,CL0252,2023-07-05,Yes,Social Media Post,Colour Analysis,341.05,2023,Q3 2023
REF000443,CL1759,CL1832,2024-02-05,Yes,WhatsApp,Colour & Style Combined,280.34,2024,Q1 2024
REF000444,CL1711,CL1781,2024-12-06,No,In-Person,Colour Analysis,0,2024,Q4 2024
REF000445,CL1711,CL2505,2025-11-11,Yes,Social Media Post,Colour & Style Combined,115.28,2025,Q4 2025
REF000446,CL1711,CL2249,2023-04-19,Yes,In-Person,Colour & Style Combined,130.65,2023,Q2 2023
REF000447,CL2118,CL1769,2025-03-18,Yes,Email,Makeup Lesson,219.01,2025,Q1 2025
REF000448,CL1331,CL1476,2025-05-04,Yes,Social Media Post,Style Analysis,98.77,2025,Q2 2025
REF000449,CL1885,CL2695,2025-06-13,No,Social Media Post,Colour Analysis,0,2025,Q2 2025
REF000450,CL1885,CL0563,2025-05-01,No,In-Person,Makeup Lesson,0,2025,Q2 2025
REF000451,CL2827,CL0031,2025-10-17,No,Social Media Post,Colour & Style Combined,0,2025,Q4 2025
REF000452,CL1365,CL2829,2023-06-13,Yes,In-Person,Colour & Style Combined,246.1,2023,Q2 2023
REF000453,CL0689,CL0363,2024-05-17,Yes,Word of Mouth,Colour & Style Combined,294.24,2024,Q2 2024
REF000454,CL0689,CL1408,2025-12-31,No,Email,Makeup Lesson,0,2025,Q4 2025
REF000455,CL2309,CL2448,2024-09-14,No,In-Person,Colour & Style Combined,0,2024,Q3 2024
REF000456,CL0422,CL0693,2023-04-16,Yes,WhatsApp,Colour Analysis,188.22,2023,Q2 2023
REF000457,CL0600,CL1139,2024-05-31,Yes,WhatsApp,Colour & Style Combined,373.8,2024,Q2 2024
REF000458,CL1049,CL0716,2023-11-06,Yes,WhatsApp,Style Analysis,179.91,2023,Q4 2023
REF000459,CL0726,CL0595,2023-11-12,No,Email,Makeup Lesson,0,2023,Q4 2023
REF000460,CL2024,CL2612,2023-12-09,Yes,WhatsApp,Colour Analysis,303.73,2023,Q4 2023
REF000461,CL1839,CL1634,2025-09-02,Yes,In-Person,Style Analysis,218.44,2025,Q3 2025
REF000462,CL0619,CL0049,2024-08-14,No,Email,Makeup Lesson,0,2024,Q3 2024
REF000463,CL0619,CL2780,2024-10-08,No,Word of Mouth,Colour Analysis,0,2024,Q4 2024
REF000464,CL2422,CL0403,2024-06-06,Yes,Email,Makeup Lesson,346.27,2024,Q2 2024
REF000465,CL2495,CL2828,2024-01-04,Yes,Word of Mouth,Colour Analysis,365.3,2024,Q1 2024
REF000466,CL0636,CL0426,2025-07-02,Yes,WhatsApp,Colour & Style Combined,157.75,2025,Q3 2025
REF000467,CL0946,CL2434,2024-03-20,No,Word of Mouth,Colour Analysis,0,2024,Q1 2024
REF000468,CL0926,CL1540,2024-01-14,No,Social Media Post,Colour & Style Combined,0,2024,Q1 2024
REF000469,CL0078,CL0311,2025-07-17,No,WhatsApp,Makeup Lesson,0,2025,Q3 2025
REF000470,CL0078,CL2836,2024-10-24,Yes,Word of Mouth,Colour & Style Combined,347.56,2024,Q4 2024
REF000471,CL2723,CL1085,2023-12-31,Yes,Email,Style Analysis,293.35,2023,Q4 2023
REF000472,CL2215,CL0590,2025-06-02,Yes,Word of Mouth,Makeup Lesson,327.51,2025,Q2 2025
REF000473,CL0588,CL2341,2024-05-28,No,Word of Mouth,Makeup Lesson,0,2024,Q2 2024
REF000474,CL0158,CL0155,2025-03-10,Yes,WhatsApp,Makeup Lesson,281.76,2025,Q1 2025
REF000475,CL0788,CL1975,2023-09-06,Yes,WhatsApp,Colour & Style Combined,316.6,2023,Q3 2023
REF000476,CL0788,CL1641,2023-04-24,Yes,Word of Mouth,Colour & Style Combined,268.75,2023,Q2 2023
REF000477,CL0788,CL1393,2023-06-14,No,WhatsApp,Style Analysis,0,2023,Q2 2023
REF000478,CL2982,CL1574,2024-01-27,Yes,Email,Colour Analysis,299.95,2024,Q1 2024
REF000479,CL2281,CL0777,2023-10-14,Yes,Word of Mouth,Style Analysis,254.0,2023,Q4 2023
REF000480,CL1955,CL1261,2025-10-20,Yes,Email,Colour Analysis,107.04,2025,Q4 2025
REF000481,CL2527,CL0176,2025-04-10,Yes,In-Person,Makeup Lesson,400.53,2025,Q2 2025
REF000482,CL2527,CL2198,2023-11-02,No,Social Media Post,Colour Analysis,0,2023,Q4 2023
REF000483,CL1514,CL2679,2023-02-09,Yes,In-Person,Colour Analysis,173.87,2023,Q1 2023
REF000484,CL2620,CL1259,2023-07-19,Yes,Social Media Post,Colour Analysis,360.79,2023,Q3 2023
REF000485,CL0922,CL2522,2024-03-27,Yes,Social Media Post,Makeup Lesson,204.64,2024,Q1 2024
REF000486,CL1335,CL2236,2023-10-09,Yes,Social Media Post,Colour Analysis,287.75,2023,Q4 2023
REF000487,CL1335,CL1375,2023-05-10,Yes,Social Media Post,Makeup Lesson,149.62,2023,Q2 2023
REF000488,CL2599,CL2384,2023-03-25,Yes,In-Person,Makeup Lesson,347.74,2023,Q1 2023
REF000489,CL1240,CL0027,2023-01-15,Yes,Word of Mouth,Colour & Style Combined,230.27,2023,Q1 2023
REF000490,CL2245,CL2143,2025-07-11,Yes,Social Media Post,Colour Analysis,288.79,2025,Q3 2025
REF000491,CL2571,CL1234,2024-12-13,Yes,In-Person,Style Analysis,157.37,2024,Q4 2024
REF000492,CL2571,CL2172,2023-07-15,Yes,In-Person,Style Analysis,245.87,2023,Q3 2023
REF000493,CL1842,CL0462,2023-11-02,Yes,Email,Makeup Lesson,152.31,2023,Q4 2023
REF000494,CL2090,CL1168,2024-03-05,Yes,WhatsApp,Makeup Lesson,109.08,2024,Q1 2024
REF000495,CL2588,CL1987,2025-11-20,Yes,Social Media Post,Makeup Lesson,287.63,2025,Q4 2025
REF000496,CL2588,CL1336,2025-05-08,Yes,WhatsApp,Style Analysis,348.17,2025,Q2 2025
REF000497,CL2373,CL1690,2024-02-14,Yes,Social Media Post,Colour Analysis,248.07,2024,Q1 2024
REF000498,CL0508,CL1864,2023-12-31,Yes,Social Media Post,Makeup Lesson,328.94,2023,Q4 2023
REF000499,CL0508,CL2589,2025-01-04,No,Social Media Post,Colour & Style Combined,0,2025,Q1 2025
REF000500,CL0508,CL0522,2023-03-07,Yes,Word of Mouth,Colour & Style Combined,139.36,2023,Q1 2023
REF000501,CL0900,CL1209,2023-11-18,No,In-Person,Style Analysis,0,2023,Q4 2023
REF000502,CL1249,CL2138,2025-09-28,No,Social Media Post,Makeup Lesson,0,2025,Q3 2025
REF000503,CL0746,CL1011,2024-05-22,Yes,In-Person,Style Analysis,384.84,2024,Q2 2024
REF000504,CL0746,CL2424,2023-11-02,No,Word of Mouth,Makeup Lesson,0,2023,Q4 2023
REF000505,CL1880,CL2066,2023-03-10,Yes,Email,Makeup Lesson,358.16,2023,Q1 2023
REF000506,CL0794,CL0341,2023-01-26,Yes,Email,Style Analysis,138.13,2023,Q1 2023
REF000507,CL2123,CL0372,2023-02-02,Yes,WhatsApp,Style Analysis,323.57,2023,Q1 2023
REF000508,CL2078,CL0568,2025-04-10,Yes,WhatsApp,Makeup Lesson,323.77,2025,Q2 2025
REF000509,CL1225,CL1577,2024-11-12,Yes,WhatsApp,Makeup Lesson,339.69,2024,Q4 2024
REF000510,CL1326,CL2542,2024-11-18,No,Word of Mouth,Colour & Style Combined,0,2024,Q4 2024
REF000511,CL1326,CL0212,2023-08-16,Yes,Email,Colour Analysis,213.81,2023,Q3 2023
REF000512,CL0686,CL0275,2024-02-24,Yes,WhatsApp,Style Analysis,270.38,2024,Q1 2024
REF000513,CL2234,CL2063,2025-05-16,Yes,Word of Mouth,Colour & Style Combined,207.2,2025,Q2 2025
REF000514,CL2234,CL1992,2025-10-23,Yes,Word of Mouth,Makeup Lesson,325.69,2025,Q4 2025
REF000515,CL1345,CL2758,2023-05-15,Yes,Email,Colour Analysis,121.06,2023,Q2 2023
REF000516,CL2122,CL0448,2023-12-04,Yes,Social Media Post,Makeup Lesson,143.91,2023,Q4 2023
REF000517,CL2122,CL0837,2025-12-02,No,Word of Mouth,Colour & Style Combined,0,2025,Q4 2025
REF000518,CL2122,CL1707,2023-09-28,Yes,Email,Makeup Lesson,334.76,2023,Q3 2023
REF000519,CL2086,CL0091,2024-04-20,No,In-Person,Colour & Style Combined,0,2024,Q2 2024
REF000520,CL0683,CL1337,2025-09-22,Yes,In-Person,Makeup Lesson,243.85,2025,Q3 2025
REF000521,CL2491,CL0929,2025-09-18,Yes,WhatsApp,Colour Analysis,143.21,2025,Q3 2025
