ClientID,ColourSeasonID,PreferredStylistID,ReferralSource,AgeGroup,FirstConsultationDate,HasStyleAnalysis,HasMakeupLesson
CL0382,CS06,STY042,Corporate,35-44,2024-08-30,No,Yes
CL0383,CS05,STY014,Word of Mouth,65+,2020-10-05,Yes,Yes
CL0384,CS03,STY069,Facebook,35-44,2020-09-04,No,Yes
CL0385,CS08,STY012,Instagram,25-34,2020-09-02,Yes,No
CL0386,CS05,STY028,Friend Referral,45-54,2020-03-23,No,Yes
CL0387,CS02,STY066,Friend Referral,65+,2022-03-22,Yes,No
CL0388,CS05,STY052,Instagram,65+,2020-03-04,No,No
CL0389,CS12,STY018,Google Search,25-34,2020-07-27,Yes,Yes
CL0390,CS01,STY026,Gift Voucher,65+,2020-09-24,No,Yes
CL0391,CS11,STY034,TikTok,45-54,2023-04-07,Yes,Yes
CL0392,CS02,STY017,Word of Mouth,45-54,2024-07-15,Yes,Yes
CL0393,CS02,STY074,Word of Mouth,35-44,2020-12-10,No,No
CL0394,CS07,STY023,Facebook,35-44,2022-05-23,No,Yes
CL0395,CS03,STY005,Instagram,35-44,2020-10-31,Yes,No
CL0396,CS05,STY008,Facebook,55-64,2022-09-08,Yes,Yes
CL0397,CS07,STY068,Word of Mouth,25-34,2024-06-20,Yes,No
CL0398,CS09,STY046,Friend Referral,65+,2024-05-20,No,No
CL0399,CS08,STY050,Instagram,35-44,2021-10-20,No,Yes
CL0400,CS01,STY036,Instagram,25-34,2024-07-18,Yes,Yes
CL0401,CS09,STY021,Instagram,45-54,2021-04-21,Yes,Yes
CL0402,CS11,STY008,Word of Mouth,35-44,2024-06-08,Yes,No
CL0403,CS07,STY023,Instagram,55-64,2024-09-27,Yes,Yes
CL0404,CS10,STY004,Instagram,45-54,2022-01-04,No,No
CL0405,CS10,STY064,Word of Mouth,65+,2024-09-09,No,Yes
CL0406,CS08,STY029,Word of Mouth,18-24,2023-05-17,Yes,No
CL0407,CS08,STY017,Word of Mouth,55-64,2021-02-16,No,No
CL0408,CS03,STY008,Corporate,55-64,2021-10-24,Yes,Yes
CL0409,CS10,STY068,Friend Referral,25-34,2020-08-15,No,Yes
CL0410,CS06,STY013,Friend Referral,45-54,2023-04-15,No,Yes
CL0411,CS06,STY063,Word of Mouth,25-34,2022-06-13,No,Yes
CL0412,CS12,STY046,Return Client,45-54,2023-06-10,Yes,No
CL0413,CS10,STY038,Friend Referral,35-44,2024-02-12,Yes,Yes
CL0414,CS12,STY051,Word of Mouth,45-54,2023-03-19,Yes,Yes
CL0415,CS10,STY029,Instagram,55-64,2023-06-06,Yes,Yes
CL0416,CS03,STY041,Instagram,18-24,2021-12-11,Yes,No
CL0417,CS02,STY043,Friend Referral,45-54,2024-02-02,No,Yes
CL0418,CS05,STY033,Word of Mouth,45-54,2021-12-18,Yes,No
CL0419,CS01,STY022,Word of Mouth,35-44,2022-05-09,No,Yes
CL0420,CS07,STY062,Instagram,35-44,2024-08-24,Yes,Yes
CL0421,CS08,STY003,Word of Mouth,55-64,2021-08-26,No,Yes
CL0422,CS02,STY021,Word of Mouth,25-34,2022-02-07,Yes,No
CL0423,CS02,STY004,Instagram,65+,2022-09-15,No,No
CL0424,CS03,STY013,TikTok,35-44,2020-04-19,No,Yes
CL0425,CS04,STY070,Facebook,35-44,2024-02-03,No,No
CL0426,CS05,STY074,Instagram,25-34,2022-03-15,No,Yes
CL0427,CS01,STY062,Instagram,35-44,2021-08-26,Yes,Yes
CL0428,CS01,STY061,Word of Mouth,45-54,2020-06-16,Yes,Yes
CL0429,CS07,STY012,Facebook,55-64,2021-06-26,No,Yes
CL0430,CS06,STY006,Gift Voucher,35-44,2022-07-01,No,Yes
CL0431,CS08,STY008,Instagram,55-64,2023-03-01,Yes,No
CL0432,CS11,STY070,Word of Mouth,45-54,2024-07-13,No,No
CL0433,CS04,STY067,Google Search,55-64,2024-08-03,No,No
CL0434,CS11,STY061,Gift Voucher,35-44,2021-04-27,No,Yes
CL0435,CS07,STY074,Corporate,45-54,2022-10-25,Yes,Yes
CL0436,CS08,STY025,Word of Mouth,65+,2021-03-09,Yes,Yes
CL0437,CS07,STY019,Word of Mouth,45-54,2021-02-17,No,Yes
CL0438,CS12,STY072,Corporate,18-24,2022-03-05,No,No
CL0439,CS06,STY002,Gift Voucher,35-44,2024-11-23,No,Yes
CL0440,CS07,STY013,Word of Mouth,35-44,2023-04-08,Yes,No
CL0441,CS02,STY053,Friend Referral,55-64,2021-12-05,No,Yes
CL0442,CS11,STY023,Facebook,45-54,2020-03-17,No,Yes
CL0443,CS03,STY005,TikTok,45-54,2022-04-02,No,Yes
CL0444,CS12,STY048,Word of Mouth,45-54,2021-07-04,Yes,Yes
CL0445,CS05,STY013,Instagram,55-64,2024-10-23,Yes,Yes
CL0446,CS05,STY042,Return Client,35-44,2024-08-18,No,No
CL0447,CS07,STY028,TikTok,25-34,2022-06-23,No,No
CL0448,CS08,STY008,Friend Referral,55-64,2024-08-08,Yes,Yes
CL0449,CS05,STY068,Friend Referral,35-44,2024-05-17,Yes,Yes
CL0450,CS04,STY032,Gift Voucher,25-34,2020-04-28,Yes,Yes
CL0451,CS01,STY048,Corporate,45-54,2021-07-15,No,No
CL0452,CS07,STY031,TikTok,25-34,2020-03-03,No,Yes
CL0453,CS10,STY071,Facebook,65+,2022-08-29,No,Yes
CL0454,CS03,STY012,Gift Voucher,25-34,2024-08-28,No,Yes
CL0455,CS07,STY028,Word of Mouth,55-64,2024-05-16,Yes,No
CL0456,CS04,STY066,TikTok,25-34,2022-04-18,Yes,No
CL0457,CS01,STY002,Facebook,25-34,2020-12-20,Yes,Yes
CL0458,CS10,STY036,Friend Referral,35-44,2023-12-23,No,Yes
CL0459,CS06,STY067,Facebook,25-34,2021-09-10,No,No
CL0460,CS02,STY048,Word of Mouth,65+,2024-09-23,No,Yes
CL0461,CS11,STY042,Word of Mouth,18-24,2021-07-20,No,Yes
CL0462,CS11,STY025,Friend Referral,55-64,2021-09-03,Yes,No
CL0463,CS04,STY052,Gift Voucher,55-64,2024-07-01,No,No
CL0464,CS03,STY034,Friend Referral,45-54,2021-08-28,No,Yes
CL0465,CS07,STY025,Friend Referral,45-54,2023-03-17,No,No
CL0466,CS12,STY061,Word of Mouth,35-44,2024-05-26,No,No
CL0467,CS05,STY072,Gift Voucher,55-64,2024-11-30,Yes,Yes
CL0468,CS02,STY072,Facebook,45-54,2024-01-25,Yes,No
CL0469,CS06,STY040,TikTok,25-34,2021-04-02,No,Yes
CL0470,CS06,STY016,Instagram,25-34,2024-10-09,No,Yes
CL0471,CS11,STY061,Google Search,65+,2020-05-25,Yes,No
CL0472,CS02,STY053,Gift Voucher,35-44,2021-09-03,Yes,Yes
CL0473,CS03,STY059,YouTube,35-44,2023-03-12,Yes,Yes
CL0474,CS12,STY023,Word of Mouth,25-34,2021-11-12,No,No
CL0475,CS01,STY022,Word of Mouth,25-34,2024-04-07,Yes,Yes
CL0476,CS02,STY052,Word of Mouth,35-44,2022-05-29,No,Yes
CL0477,CS07,STY048,Word of Mouth,35-44,2024-02-05,Yes,Yes
CL0478,CS09,STY032,Word of Mouth,45-54,2023-07-07,Yes,No
CL0479,CS06,STY040,Instagram,25-34,2022-10-27,Yes,Yes
CL0480,CS01,STY067,Instagram,25-34,2024-01-30,No,Yes
CL0481,CS11,STY046,YouTube,35-44,2022-09-30,Yes,Yes
CL0482,CS07,STY028,Word of Mouth,25-34,2020-09-25,Yes,No
CL0483,CS09,STY005,Word of Mouth,35-44,2023-08-25,No,No
CL0484,CS05,STY007,Friend Referral,45-54,2023-05-01,Yes,No
CL0485,CS01,STY049,Word of Mouth,25-34,2022-06-28,Yes,No
CL0486,CS05,STY002,Facebook,25-34,2023-11-24,No,Yes
CL0487,CS11,STY018,Word of Mouth,35-44,2023-06-29,No,Yes
CL0488,CS09,STY014,Friend Referral,25-34,2020-08-21,No,Yes
CL0489,CS10,STY026,Word of Mouth,25-34,2022-12-07,No,No
CL0490,CS07,STY027,Instagram,18-24,2022-10-13,No,Yes
CL0491,CS04,STY074,Word of Mouth,45-54,2020-08-14,No,Yes
CL0492,CS02,STY013,Friend Referral,18-24,2024-01-21,No,No
CL0493,CS04,STY060,Facebook,65+,2021-06-24,Yes,Yes
CL0494,CS03,STY041,Gift Voucher,55-64,2022-01-07,No,No
CL0495,CS02,STY002,Word of Mouth,45-54,2020-04-03,Yes,No
CL0496,CS11,STY035,Word of Mouth,35-44,2022-06-15,Yes,Yes
CL0497,CS06,STY035,Word of Mouth,35-44,2022-07-23,No,No
CL0498,CS08,STY022,Friend Referral,45-54,2024-06-20,Yes,Yes
CL0499,CS12,STY021,Friend Referral,65+,2024-09-25,Yes,Yes
CL0500,CS10,STY024,Facebook,35-44,2022-06-16,No,Yes
CL0501,CS10,STY017,Word of Mouth,45-54,2024-09-13,No,Yes
CL0502,CS02,STY034,Gift Voucher,35-44,2020-05-09,No,Yes
CL0503,CS12,STY074,Gift Voucher,35-44,2024-03-02,Yes,No
CL0504,CS06,STY013,Google Search,45-54,2023-06-20,No,No
CL0505,CS12,STY050,Word of Mouth,35-44,2023-10-17,Yes,No
CL0506,CS10,STY065,Word of Mouth,45-54,2020-11-17,No,Yes
CL0507,CS03,STY043,Word of Mouth,35-44,2021-05-08,No,Yes
CL0508,CS09,STY031,Word of Mouth,45-54,2022-04-05,Yes,Yes
CL0509,CS08,STY064,Friend Referral,35-44,2024-10-20,No,Yes
CL0510,CS02,STY014,YouTube,45-54,2020-02-06,No,Yes
CL0511,CS01,STY039,Google Search,18-24,2020-07-05,Yes,No
CL0512,CS11,STY007,Facebook,35-44,2024-08-17,Yes,Yes
CL0513,CS06,STY047,Google Search,45-54,2022-08-26,No,Yes
CL0514,CS02,STY046,Friend Referral,25-34,2021-11-30,No,No
CL0515,CS09,STY064,Instagram,25-34,2020-12-02,Yes,No
CL0516,CS12,STY026,Friend Referral,25-34,2023-06-05,Yes,Yes
CL0517,CS07,STY044,Word of Mouth,55-64,2021-01-25,Yes,Yes
CL0518,CS01,STY016,Corporate,55-64,2023-04-20,No,Yes
CL0519,CS11,STY001,Google Search,35-44,2022-10-18,Yes,No
CL0520,CS07,STY023,Gift Voucher,35-44,2022-11-07,Yes,No
CL0521,CS03,STY042,Word of Mouth,45-54,2023-05-26,No,Yes
CL0522,CS10,STY051,Corporate,45-54,2021-07-14,No,Yes
CL0523,CS08,STY066,Friend Referral,25-34,2023-05-18,No,No
CL0524,CS09,STY028,Gift Voucher,45-54,2023-02-07,Yes,Yes
CL0525,CS10,STY017,Friend Referral,45-54,2023-10-09,Yes,No
CL0526,CS09,STY046,Friend Referral,35-44,2020-08-24,No,No
CL0527,CS10,STY069,Return Client,45-54,2023-10-12,No,Yes
CL0528,CS01,STY007,Google Search,18-24,2020-10-24,Yes,Yes
CL0529,CS05,STY033,Friend Referral,25-34,2021-08-09,Yes,Yes
CL0530,CS12,STY005,Friend Referral,25-34,2023-01-13,No,Yes
CL0531,CS02,STY029,TikTok,45-54,2023-02-24,No,Yes
CL0532,CS09,STY007,Friend Referral,45-54,2021-08-12,No,Yes
CL0533,CS07,STY071,Return Client,65+,2021-10-02,Yes,Yes
CL0534,CS12,STY057,Instagram,45-54,2024-05-18,Yes,No
CL0535,CS12,STY070,Friend Referral,35-44,2023-04-20,Yes,No
CL0536,CS04,STY010,Instagram,25-34,2023-10-30,Yes,Yes
CL0537,CS12,STY036,Google Search,35-44,2022-05-27,No,Yes
CL0538,CS03,STY060,Google Search,25-34,2021-11-07,Yes,Yes
CL0539,CS03,STY039,Corporate,45-54,2024-05-03,No,No
CL0540,CS09,STY068,Instagram,45-54,2021-10-12,Yes,Yes
CL0541,CS09,STY070,Word of Mouth,35-44,2022-05-01,No,Yes
CL0542,CS06,STY043,Word of Mouth,25-34,2021-11-10,No,Yes
CL0543,CS04,STY072,Return Client,45-54,2022-08-30,Yes,Yes
CL0544,CS11,STY032,Instagram,25-34,2023-08-08,Yes,No
CL0545,CS06,STY050,Instagram,45-54,2020-08-20,No,No
CL0546,CS12,STY048,Instagram,55-64,2024-08-10,No,Yes
CL0547,CS01,STY066,Instagram,45-54,2021-10-18,Yes,Yes
CL0548,CS03,STY001,Return Client,45-54,2022-12-28,Yes,Yes
CL0549,CS11,STY055,TikTok,25-34,2023-11-04,Yes,Yes
CL0550,CS09,STY056,Friend Referral,55-64,2024-02-27,Yes,No
CL0551,CS11,STY005,Word of Mouth,35-44,2021-11-10,Yes,Yes
CL0552,CS01,STY074,Word of Mouth,25-34,2020-05-24,Yes,Yes
CL0553,CS07,STY041,Instagram,45-54,2022-06-05,Yes,Yes
CL0554,CS11,STY009,Word of Mouth,18-24,2024-01-15,Yes,No
CL0555,CS02,STY039,Instagram,35-44,2021-08-16,Yes,Yes
CL0556,CS08,STY061,Instagram,55-64,2020-03-04,Yes,No
CL0557,CS04,STY070,Word of Mouth,35-44,2024-06-21,No,No
CL0558,CS03,STY048,Instagram,55-64,2024-06-16,Yes,No
CL0559,CS09,STY051,Word of Mouth,18-24,2023-03-18,Yes,Yes
CL0560,CS04,STY028,Friend Referral,55-64,2021-12-05,No,No
CL0561,CS09,STY033,Word of Mouth,25-34,2023-06-17,Yes,Yes
CL0562,CS03,STY071,TikTok,35-44,2020-04-21,No,No
CL0563,CS09,STY013,Word of Mouth,45-54,2021-05-28,Yes,No
CL0564,CS10,STY031,Facebook,35-44,2020-09-19,Yes,Yes
CL0565,CS10,STY058,Word of Mouth,25-34,2022-09-22,No,No
CL0566,CS11,STY073,Instagram,45-54,2023-03-04,No,Yes
CL0567,CS07,STY029,Word of Mouth,35-44,2024-05-28,No,Yes
CL0568,CS06,STY062,Word of Mouth,45-54,2024-12-02,No,Yes
CL0569,CS06,STY023,Friend Referral,35-44,2020-08-10,Yes,Yes
CL0570,CS03,STY010,Gift Voucher,25-34,2024-02-11,Yes,Yes
CL0571,CS09,STY052,TikTok,55-64,2023-03-31,Yes,Yes
CL0572,CS09,STY061,Instagram,55-64,2023-01-10,Yes,Yes
CL0573,CS07,STY038,Word of Mouth,45-54,2024-02-10,Yes,Yes
CL0574,CS09,STY002,Google Search,35-44,2022-10-25,Yes,No
CL0575,CS11,STY021,Word of Mouth,35-44,2022-07-02,Yes,No
CL0576,CS10,STY062,TikTok,65+,2024-02-16,No,Yes
CL0577,CS04,STY048,Friend Referral,25-34,2021-06-25,Yes,Yes
CL0578,CS11,STY050,Word of Mouth,55-64,2022-01-09,No,Yes
CL0579,CS01,STY067,Word of Mouth,45-54,2020-07-30,No,No
CL0580,CS05,STY049,Google Search,35-44,2022-02-10,No,No
CL0581,CS11,STY049,Gift Voucher,18-24,2021-05-30,Yes,No
CL0582,CS07,STY062,Instagram,55-64,2022-09-24,Yes,No
CL0583,CS03,STY036,Facebook,25-34,2022-11-19,Yes,Yes
CL0584,CS03,STY016,Word of Mouth,45-54,2024-07-31,Yes,Yes
CL0585,CS06,STY062,Friend Referral,35-44,2022-09-07,Yes,No
CL0586,CS03,STY006,TikTok,35-44,2021-05-14,Yes,No
CL0587,CS10,STY074,Word of Mouth,45-54,2020-03-21,Yes,Yes
CL0588,CS03,STY073,Instagram,25-34,2022-04-10,Yes,No
CL0589,CS12,STY028,TikTok,25-34,2020-06-24,No,No
CL0590,CS08,STY053,Gift Voucher,25-34,2024-08-27,Yes,No
CL0591,CS03,STY044,TikTok,35-44,2020-12-09,No,No
CL0592,CS10,STY014,Word of Mouth,35-44,2020-09-27,Yes,Yes
CL0593,CS09,STY020,Gift Voucher,35-44,2022-05-09,Yes,Yes
CL0594,CS08,STY069,Corporate,45-54,2024-12-02,Yes,Yes
CL0595,CS08,STY001,TikTok,55-64,2023-01-09,No,No
CL0596,CS07,STY055,Instagram,18-24,2022-12-21,Yes,Yes
CL0597,CS07,STY074,Instagram,55-64,2024-04-08,Yes,Yes
CL0598,CS03,STY011,Instagram,45-54,2024-10-25,No,No
CL0599,CS09,STY001,Facebook,25-34,2023-12-23,Yes,No
CL0600,CS01,STY041,Instagram,25-34,2024-07-05,No,Yes
CL0601,CS02,STY034,Word of Mouth,45-54,2021-06-03,No,No
CL0602,CS06,STY027,TikTok,65+,2022-03-24,No,No
CL0603,CS09,STY062,Facebook,35-44,2023-02-10,No,Yes
CL0604,CS10,STY018,Instagram,45-54,2024-02-15,Yes,No
CL0605,CS04,STY013,Facebook,45-54,2020-11-27,Yes,No
CL0606,CS07,STY007,Friend Referral,55-64,2023-06-11,Yes,Yes
CL0607,CS11,STY061,Word of Mouth,25-34,2020-10-24,No,Yes
CL0608,CS02,STY005,Instagram,35-44,2023-06-01,No,Yes
CL0609,CS10,STY008,TikTok,25-34,2023-05-08,Yes,No
CL0610,CS08,STY067,Facebook,25-34,2023-09-07,No,Yes
CL0611,CS01,STY030,Friend Referral,35-44,2023-12-01,Yes,No
CL0612,CS01,STY012,Instagram,45-54,2020-11-18,No,Yes
CL0613,CS06,STY067,TikTok,35-44,2021-02-14,Yes,No
CL0614,CS12,STY072,Word of Mouth,25-34,2021-08-05,No,Yes
CL0615,CS05,STY052,Word of Mouth,65+,2022-07-20,Yes,Yes
CL0616,CS03,STY065,Facebook,25-34,2020-05-28,No,Yes
CL0617,CS02,STY069,Friend Referral,65+,2024-11-29,No,No
CL0618,CS08,STY032,Return Client,35-44,2024-04-25,No,Yes
CL0619,CS11,STY062,Facebook,45-54,2020-02-26,Yes,Yes
CL0620,CS02,STY030,Instagram,45-54,2021-03-27,No,Yes
CL0621,CS06,STY034,Google Search,18-24,2024-08-31,Yes,Yes
CL0622,CS02,STY010,Instagram,45-54,2021-12-01,Yes,Yes
CL0623,CS06,STY024,Instagram,55-64,2021-07-05,Yes,Yes
CL0624,CS12,STY034,Word of Mouth,45-54,2024-11-22,Yes,Yes
CL0625,CS04,STY020,Gift Voucher,55-64,2021-12-30,Yes,Yes
CL0626,CS02,STY001,TikTok,45-54,2023-06-11,Yes,Yes
CL0627,CS06,STY036,TikTok,35-44,2023-03-22,No,Yes
CL0628,CS09,STY017,Instagram,25-34,2023-03-27,Yes,No
CL0629,CS07,STY045,Facebook,35-44,2022-10-26,No,No
CL0630,CS03,STY059,Facebook,25-34,2022-11-27,No,No
CL0631,CS01,STY013,Word of Mouth,25-34,2023-04-04,No,Yes
CL0632,CS10,STY031,Gift Voucher,25-34,2021-06-22,No,Yes
CL0633,CS10,STY027,Instagram,25-34,2022-05-18,No,No
CL0634,CS06,STY024,Instagram,35-44,2022-07-12,Yes,No
CL0635,CS11,STY031,Word of Mouth,25-34,2021-07-06,No,Yes
CL0636,CS04,STY061,Word of Mouth,65+,2020-11-02,Yes,Yes
CL0637,CS07,STY067,Facebook,65+,2024-10-05,No,Yes
CL0638,CS05,STY051,Instagram,55-64,2020-04-07,Yes,No
CL0639,CS03,STY013,Word of Mouth,55-64,2022-09-02,No,No
CL0640,CS06,STY033,Instagram,35-44,2023-02-15,No,Yes
CL0641,CS07,STY026,Word of Mouth,55-64,2023-05-25,Yes,Yes
CL0642,CS06,STY058,Instagram,35-44,2024-05-05,Yes,Yes
CL0643,CS10,STY022,Instagram,45-54,2020-10-23,No,Yes
CL0644,CS11,STY011,TikTok,35-44,2020-05-26,Yes,Yes
CL0645,CS04,STY035,Instagram,45-54,2023-12-25,No,Yes
CL0646,CS08,STY067,Friend Referral,65+,2024-03-11,No,Yes
CL0647,CS03,STY031,Word of Mouth,18-24,2024-01-30,No,No
CL0648,CS12,STY014,Friend Referral,25-34,2022-03-24,Yes,Yes
CL0649,CS08,STY068,Google Search,18-24,2022-03-24,Yes,Yes
CL0650,CS05,STY040,TikTok,25-34,2022-03-09,Yes,Yes
CL0651,CS12,STY068,Instagram,45-54,2020-09-25,Yes,Yes
CL0652,CS01,STY061,TikTok,55-64,2021-10-28,No,No
CL0653,CS05,STY070,Google Search,25-34,2023-11-29,Yes,No
CL0654,CS10,STY073,Facebook,45-54,2024-12-01,No,No
CL0655,CS11,STY062,TikTok,35-44,2021-12-12,Yes,Yes
CL0656,CS08,STY039,Instagram,35-44,2020-11-14,Yes,Yes
CL0657,CS09,STY037,Friend Referral,55-64,2021-12-05,No,No
CL0658,CS01,STY062,Friend Referral,35-44,2024-03-27,No,Yes
CL0659,CS07,STY001,Friend Referral,45-54,2024-06-19,No,Yes
CL0660,CS07,STY021,Gift Voucher,35-44,2021-05-26,No,Yes
CL0661,CS04,STY067,Instagram,35-44,2021-05-05,No,Yes
CL0662,CS11,STY025,Friend Referral,55-64,2022-04-25,Yes,Yes
CL0663,CS03,STY058,Instagram,45-54,2023-06-19,No,No
CL0664,CS10,STY007,Facebook,35-44,2020-11-07,Yes,Yes
CL0665,CS02,STY002,Instagram,25-34,2022-06-16,Yes,Yes
CL0666,CS03,STY040,Word of Mouth,25-34,2022-05-10,No,Yes
CL0667,CS08,STY019,Friend Referral,18-24,2020-06-13,Yes,Yes
CL0668,CS07,STY033,Word of Mouth,35-44,2021-01-28,No,Yes
CL0669,CS02,STY057,Return Client,45-54,2022-02-27,Yes,No
CL0670,CS01,STY067,Word of Mouth,45-54,2020-07-11,Yes,Yes
CL0671,CS07,STY021,Friend Referral,35-44,2021-10-23,Yes,No
CL0672,CS09,STY039,Google Search,25-34,2023-07-31,Yes,Yes
CL0673,CS01,STY031,Gift Voucher,25-34,2020-08-19,No,Yes
CL0674,CS01,STY051,Word of Mouth,25-34,2020-09-02,Yes,Yes
CL0675,CS01,STY020,Google Search,45-54,2023-11-10,No,Yes
CL0676,CS04,STY044,Word of Mouth,25-34,2023-06-20,Yes,Yes
CL0677,CS06,STY014,TikTok,45-54,2024-06-08,Yes,Yes
CL0678,CS04,STY045,Instagram,35-44,2023-08-13,No,No
CL0679,CS04,STY018,Word of Mouth,35-44,2024-01-23,No,Yes
CL0680,CS08,STY063,Friend Referral,35-44,2023-01-16,Yes,No
CL0681,CS03,STY036,Google Search,35-44,2022-08-17,Yes,Yes
CL0682,CS09,STY070,Word of Mouth,25-34,2021-06-23,No,Yes
CL0683,CS01,STY024,Friend Referral,35-44,2024-02-11,Yes,No
CL0684,CS06,STY009,Friend Referral,25-34,2024-01-16,No,Yes
CL0685,CS09,STY037,Friend Referral,45-54,2020-11-11,No,Yes
CL0686,CS11,STY009,Instagram,25-34,2023-09-11,Yes,Yes
CL0687,CS03,STY025,Gift Voucher,25-34,2022-09-21,Yes,Yes
CL0688,CS10,STY068,TikTok,35-44,2022-09-30,No,Yes
CL0689,CS06,STY027,Word of Mouth,45-54,2020-01-27,No,Yes
CL0690,CS08,STY054,Friend Referral,18-24,2023-02-16,No,No
CL0691,CS01,STY010,Friend Referral,25-34,2020-03-24,No,Yes
CL0692,CS04,STY030,Return Client,25-34,2024-01-25,No,Yes
CL0693,CS04,STY023,Google Search,25-34,2023-07-04,No,No
CL0694,CS02,STY059,Friend Referral,35-44,2023-10-13,No,Yes
CL0695,CS03,STY044,Friend Referral,35-44,2022-10-30,Yes,No
CL0696,CS10,STY071,Facebook,35-44,2021-10-07,No,Yes
CL0697,CS07,STY042,Friend Referral,35-44,2024-01-26,Yes,No
CL0698,CS09,STY033,Word of Mouth,45-54,2024-03-04,No,Yes
CL0699,CS08,STY037,Return Client,18-24,2020-03-11,Yes,No
CL0700,CS03,STY029,YouTube,35-44,2021-09-07,Yes,Yes
CL0701,CS01,STY036,Friend Referral,65+,2024-08-11,Yes,Yes
CL0702,CS01,STY047,Facebook,25-34,2021-06-26,Yes,Yes
CL0703,CS05,STY073,Friend Referral,25-34,2022-03-29,Yes,No
CL0704,CS02,STY063,Friend Referral,45-54,2020-12-20,Yes,No
CL0705,CS11,STY049,Instagram,45-54,2023-03-26,Yes,Yes
CL0706,CS06,STY016,Instagram,55-64,2022-05-03,Yes,No
CL0707,CS11,STY049,Gift Voucher,55-64,2023-07-22,Yes,Yes
CL0708,CS09,STY042,Word of Mouth,35-44,2020-11-02,Yes,Yes
CL0709,CS01,STY074,TikTok,65+,2022-07-01,Yes,Yes
CL0710,CS07,STY044,Instagram,35-44,2020-09-27,Yes,Yes
CL0711,CS10,STY011,Friend Referral,35-44,2021-06-21,No,No
CL0712,CS07,STY062,Friend Referral,25-34,2020-10-03,Yes,Yes
CL0713,CS07,STY068,TikTok,25-34,2023-06-15,Yes,Yes
CL0714,CS02,STY074,Instagram,35-44,2023-11-03,Yes,Yes
CL0715,CS11,STY042,Facebook,35-44,2021-01-25,No,No
CL0716,CS11,STY057,Word of Mouth,35-44,2021-12-17,Yes,Yes
CL0717,CS01,STY048,Corporate,25-34,2023-11-04,Yes,No
CL0718,CS02,STY019,Word of Mouth,18-24,2023-06-25,No,Yes
CL0719,CS06,STY061,Friend Referral,25-34,2022-07-10,Yes,Yes
CL0720,CS04,STY067,Friend Referral,25-34,2023-01-24,No,No
CL0721,CS08,STY003,TikTok,65+,2023-11-24,No,No
CL0722,CS11,STY037,Google Search,25-34,2020-05-03,Yes,No
CL0723,CS10,STY009,Instagram,35-44,2020-01-18,No,No
CL0724,CS05,STY014,TikTok,55-64,2022-01-07,Yes,Yes
CL0725,CS11,STY013,Instagram,65+,2022-11-07,No,Yes
CL0726,CS10,STY059,Google Search,25-34,2022-10-22,Yes,Yes
CL0727,CS04,STY051,Corporate,35-44,2022-09-30,Yes,Yes
CL0728,CS06,STY031,Friend Referral,35-44,2021-09-11,No,Yes
CL0729,CS11,STY004,Instagram,35-44,2024-07-26,No,Yes
CL0730,CS03,STY012,Instagram,35-44,2020-10-08,No,No
CL0731,CS11,STY054,TikTok,45-54,2021-04-10,Yes,No
CL0732,CS03,STY043,Facebook,35-44,2023-05-24,No,No
CL0733,CS03,STY026,Word of Mouth,25-34,2023-01-13,Yes,Yes
CL0734,CS12,STY056,Friend Referral,35-44,2020-10-03,Yes,No
CL0735,CS10,STY069,Corporate,35-44,2023-02-15,Yes,Yes
CL0736,CS06,STY041,Gift Voucher,25-34,2020-03-01,No,Yes
CL0737,CS05,STY036,Facebook,65+,2023-07-28,Yes,Yes
CL0738,CS02,STY035,Word of Mouth,18-24,2023-06-07,Yes,No
CL0739,CS04,STY062,Word of Mouth,18-24,2020-06-11,Yes,No
CL0740,CS10,STY050,Facebook,45-54,2021-01-11,No,Yes
CL0741,CS03,STY002,Word of Mouth,25-34,2022-04-16,No,Yes
CL0742,CS04,STY027,Friend Referral,65+,2024-03-31,Yes,Yes
CL0743,CS08,STY059,Gift Voucher,35-44,2021-10-27,Yes,Yes
CL0744,CS07,STY049,Friend Referral,45-54,2024-08-15,No,Yes
CL0745,CS10,STY068,Return Client,35-44,2023-01-03,Yes,No
CL0746,CS02,STY032,Facebook,55-64,2020-03-27,No,No
CL0747,CS01,STY007,Google Search,35-44,2023-07-15,Yes,Yes
CL0748,CS08,STY037,Instagram,35-44,2024-08-21,No,Yes
CL0749,CS07,STY067,Instagram,55-64,2023-11-14,Yes,Yes
CL0750,CS11,STY024,Facebook,45-54,2020-08-19,Yes,Yes
CL0751,CS07,STY026,Instagram,18-24,2022-07-18,No,Yes
CL0752,CS05,STY021,Instagram,45-54,2023-12-28,Yes,Yes
CL0753,CS02,STY068,Friend Referral,45-54,2020-06-23,No,No
CL0754,CS09,STY049,TikTok,25-34,2023-02-01,Yes,Yes
CL0755,CS06,STY021,Google Search,45-54,2020-11-03,Yes,Yes
CL0756,CS12,STY058,Word of Mouth,35-44,2024-02-04,No,No
CL0757,CS03,STY001,Word of Mouth,25-34,2021-02-19,No,Yes
CL0758,CS08,STY001,Facebook,35-44,2024-07-11,No,Yes
CL0759,CS04,STY057,Google Search,35-44,2022-04-19,Yes,No
CL0760,CS10,STY072,Word of Mouth,55-64,2021-07-23,Yes,Yes
CL0761,CS03,STY019,Word of Mouth,45-54,2020-03-16,Yes,No
